"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1782754889808150677","Tue Apr 23 12:54:22 +0000 2024","305","Nilai tukar Rupiah melemah thp dolar AS pd bulan April 2024. Melemahnya rupiah ini memicu kekhawatiran mengenai krisis moneter 1998 akan terulang kembali. Benarkah demikian? Sampe 50 ribu pun kaum 58% gak akan perduli... Cukup bansos 300 ribu tiap 3 bulan udh puas dan joget². https://t.co/laUoiFcEDB","1782754889808150677","https://pbs.twimg.com/ext_tw_video_thumb/1782754544986050560/pu/img/go09vMJdaEplZUpf.jpg","","in","Cengkareng, Indonesia","2","18","147","https://twitter.com/NenkMonica/status/1782754889808150677","1040306964100669440","NenkMonica"
"1782371563733676106","Mon Apr 22 11:31:10 +0000 2024","2135","Ini kami warga Nangroe Aceh Darussalam dari jakarta pulang mudik lebaran kemaren pakek Pasport hitung latihan ya kan okey gas okey gas yang bani bansos ngak ada beras lempar gas https://t.co/Uoyt5ZEyVP","1782371563733676106","https://pbs.twimg.com/ext_tw_video_thumb/1782371480321597440/pu/img/lf6E5wi4vR652d2D.jpg","","in","NANGROE ACEH DARUSSALAM🇹🇷","18","83","630","https://twitter.com/CutSarina5/status/1782371563733676106","1344460749964414976","CutSarina5"
"1782553093949075603","Mon Apr 22 23:32:30 +0000 2024","2065","Good morning rakyat bodoh bani bansos yang bermental budak jangan lupa antri beras https://t.co/V845XL6JC1","1782553093949075603","https://pbs.twimg.com/ext_tw_video_thumb/1782553024877203456/pu/img/GPrDadQNGvLAgZa9.jpg","","in","NANGROE ACEH DARUSSALAM🇹🇷","12","77","679","https://twitter.com/CutSarina5/status/1782553093949075603","1344460749964414976","CutSarina5"
"1780166759099822380","Tue Apr 16 09:30:03 +0000 2024","282","Kangen Bansos Mengapa bansos berhenti setelah Pemilu? #KartunTempo #KartunMajalahTempo #MajalahTempo https://t.co/zLpU8nYUgX","1780166759099822380","https://pbs.twimg.com/media/GLRsOsKaoAAjUG3.jpg","","in","","5","3","119","https://twitter.com/temponewsroom/status/1780166759099822380","88352716","temponewsroom"
"1782282485394812932","Mon Apr 22 05:37:12 +0000 2024","649","MK Minta Penyaluran Bansos Tak Lagi Dilakukan Jelang Pemilu https://t.co/tKrpquRISO #TempoNasional","1782282485394812932","","","in","Indonesia","279","341","173","https://twitter.com/tempodotco/status/1782282485394812932","18129942","tempodotco"
"1782307799604789448","Mon Apr 22 07:17:47 +0000 2024","485","Dalam pendapatnya Saldi Isra menyatakan dalil politisasi bansos yang diajukan Pemohon itu beralasan menurut hukum. #FlashTirto https://t.co/BT1wWo4tVr","1782307799604789448","https://pbs.twimg.com/media/GLwHcSJbcAAfWzU.jpg","","in","Indonesia","8","9","89","https://twitter.com/TirtoID/status/1782307799604789448","4187275698","TirtoID"
"1781318480920445029","Fri Apr 19 13:46:35 +0000 2024","822","Hak angket DPR sah bergulir jika bansos terkuak maka jokowi pasti lengser dan 02 terkena diskwalifikasi. https://t.co/I8ifBVohZt","1781318480920445029","https://pbs.twimg.com/ext_tw_video_thumb/1781318425501196288/pu/img/SXjB_RzSkbehjPrg.jpg","","in","","7","109","251","https://twitter.com/H4T14K4LN4L42/status/1781318480920445029","1129672753651388416","H4T14K4LN4L42"
"1780761953746530362","Thu Apr 18 00:55:09 +0000 2024","390","* KPK * SOROTI BANSOS BULOG. BERSTIKER * PRABOWO GIBRAN * *KALAU YANG BICARA ADALAH KPK APAKAH INI MASIH DIBILANG HOAX JUGA KAH...!?!?!?* https://t.co/BtXQ8yDYJs","1780761953746530362","https://pbs.twimg.com/ext_tw_video_thumb/1780759572904280064/pu/img/7wHOFW-63QXQvgF9.jpg","","in","","1","12","175","https://twitter.com/TSolihien/status/1780761953746530362","1341306140286726144","TSolihien"
"1781578450316427285","Sat Apr 20 06:59:37 +0000 2024","154","Klo ada yg maksa bansos dipakai untuk pemenang seperti nya belom paham itu bagaimana bansos bisa ada https://t.co/aLG1fDcFJK","1781578450316427285","https://pbs.twimg.com/ext_tw_video_thumb/1781578091498033152/pu/img/9oGFUEuosYodUBB6.jpg","","in","","4","19","83","https://twitter.com/choymarkochoy/status/1781578450316427285","1444315955757080583","choymarkochoy"
"1780244797825151079","Tue Apr 16 14:40:09 +0000 2024","1033","Info ini penting tersampaikan agar netizen +62 paham bahwa berdasarkan UUD45 ada hak kalian atas Kekayaan negara entah dalam bentuk Bansos Berobat Gratis Sekolah Gratis Kuliah Murah Bea siswa Pelayanan Prima dan Infrastruktur bagus DLL POV : Penampakan Lubang Tambang https://t.co/qEKapqfD30","1780244797825151079","https://pbs.twimg.com/ext_tw_video_thumb/1780244714790481921/pu/img/OQrXRbzfDPoA6aTt.jpg","","in","Indonesia","28","81","570","https://twitter.com/Heraloebss/status/1780244797825151079","1251824880967774208","Heraloebss"
