created_at,favorite_count,full_text,lang,retweet_count,username,sentimen,sentiment_predicted
2024-04-23 12:54:22,305,nilai tukar rupiah lemah thp dolar as pd bulan april 2024 lemah rupiah picu khawatir kena krisis moneter 1998 ulang benar sampe 50 ribu kaum 58 gak duli cukup bansos 300 ribu tiap 3 bulan udh puas joget,in,147,NenkMonica,netral,netral
2024-04-22 11:31:10,2135,kami warga nangroe aceh darussalam jakarta pulang mudik lebaran kemaren pakek pasport hitung latih kan okey gas okey gas bani bansos ngak beras lempar gas,in,630,CutSarina5,positif,positif
2024-04-22 23:32:30,2065,good morning rakyat bodoh bani bansos mental budak jangan lupa antri beras,in,679,CutSarina5,positif,positif
2024-04-16 09:30:03,282,kangen bansos bansos henti milu,in,119,temponewsroom,positif,netral
2024-04-22 05:37:12,649,mk minta salur bansos tak laku jelang milu,in,173,tempodotco,negatif,negatif
2024-04-22 07:17:47,485,dapat saldi isra nyata dalil politisasi bansos aju mohon alas hukum,in,89,TirtoID,negatif,negatif
2024-04-19 13:46:35,822,hak angket dpr sah gulir bansos kuak jokowi lengser 02 kena diskwalifikasi,in,251,H4T14K4LN4L42,negatif,negatif
2024-04-18 00:55:09,390,kpk sorot bansos bulog stiker prabowo gibran kalau bicara kpk ini bilang hoax kah,in,175,TSolihien,positif,netral
2024-04-20 06:59:37,154,klo yang maksa bansos pakai menang bom paham bagaimana bansos ada,in,83,choymarkochoy,netral,netral
2024-04-16 14:40:09,1033,info penting sampai netizen 62 paham dasar uud45 hak kalian atas kaya negara entah bentuk bansos obat gratis sekolah gratis kuliah murah bea siswa layan prima infrastruktur bagus pov tampak lubang tambang,in,570,Heraloebss,positif,positif
2024-04-17 08:38:16,1377,haris azhar miskin kurang bansos tingkat uu ciptaker ganas bela investor presiden kok rasa sales makanya cari presiden bukan cari sales,in,650,Boediantar4,positif,netral
2024-04-16 05:09:01,515,dukung tulus vulus bansos,in,283,CutSarina5,netral,netral
2024-04-22 08:07:58,1640,gt temu langgar atas tebar bansos gt larang tebar bansos pick your struggle damn,in,556,strike_bravo_b,positif,positif
2024-04-21 10:21:49,449,bawaslu bakal awas salur bansos pilkada 2024,in,111,CNNIndonesia,positif,netral
2024-04-16 09:30:04,4738,kangen bansos bansos henti milu,in,1547,tempodotco,netral,netral
2024-04-22 06:02:37,6214,1 gibran jadi cawapres prabowo lalu rangkai drama masuk mk 2 rezim jokowi bagibagi bansos jelang milu 3 prabowo buat statement menang bukan garagara bansos tuduh kejam kata 4,in,2265,NOTASLIMBOY,netral,netral
2024-04-22 15:59:34,329,asyik hobaaaa joget dulu ahh kaum bansos antri beras sono,in,52,CutSarina5,positif,positif
